org_code,org_name,event_title,event_date,event_time,end_time,category,description,url
AUP,Arts University Plymouth,Neighbourhood Arts Session,2026-11-05,17:00,19:00,Community,Open to everyone — come along and be part of Plymouth's vibrant community arts scene. Refreshments provided.,
AUP,Arts University Plymouth,Exhibition Tour,2026-12-01,13:00,14:30,Exhibition,A curated display bringing together diverse perspectives and artistic voices from across Plymouth and beyond. Guided tours available on request.,
AUP,Arts University Plymouth,History Workshop,2026-12-28,10:00,12:00,Workshop,"A relaxed, drop-in style workshop where you can explore new techniques at your own pace. Materials and guidance provided throughout.",
Museum,The Box,Museum Discovery Session,2026-02-11,10:00,12:00,Heritage,"Explore Plymouth's rich history through guided talks, artefacts, and archival material. Led by our expert team, this session offers a rare look behind the scenes of our collections.",
Museum,The Box,Family Gallery Trail,2026-03-03,10:00,12:00,Family,"Perfect for families looking for a memorable cultural day out. Engaging activities, friendly staff, and a welcoming environment for children and adults alike.",
Museum,The Box,Object Handling Session,2026-05-24,13:00,14:30,Heritage,"Explore Plymouth's rich history through guided talks, artefacts, and archival material. Led by our expert team, this session offers a rare look behind the scenes of our collections.",
Museum,The Box,Archive Visit,2026-07-19,10:00,12:00,Heritage,"Explore Plymouth's rich history through guided talks, artefacts, and archival material. Led by our expert team, this session offers a rare look behind the scenes of our collections.",
Museum,The Box,Local History Talk,2026-07-26,18:00,19:30,Heritage,A fascinating look at Plymouth's cultural and maritime heritage. Our team of experts will guide you through rarely seen collections and archival treasures.,
Museum,The Box,Behind the Scenes Tour,2026-09-21,11:00,12:30,Heritage,"Explore Plymouth's rich history through guided talks, artefacts, and archival material. Led by our expert team, this session offers a rare look behind the scenes of our collections.",
Museum,The Box,Community Collection Day,2026-10-07,10:00,15:00,Community,Open to everyone — come along and be part of Plymouth's vibrant community arts scene. Refreshments provided.,
Museum,The Box,School Holiday Activity,2026-10-11,10:00,13:00,Family,"Bring the whole family for an afternoon of creative discovery. Activities are designed to be enjoyed together, with something for every age.",
Museum,The Box,Exhibition Tour,2026-12-01,13:00,14:30,Exhibition,A curated display bringing together diverse perspectives and artistic voices from across Plymouth and beyond. Guided tours available on request.,
Museum,The Box,History Workshop,2026-12-28,10:00,12:00,Workshop,"A relaxed, drop-in style workshop where you can explore new techniques at your own pace. Materials and guidance provided throughout.",
OCT,Ocean Conservation Trust,Live Performance,2026-01-09,19:00,21:00,Music,A wonderful opportunity to experience live music at its best. Tickets selling fast — book early to avoid disappointment.,
OCT,Ocean Conservation Trust,Annual Celebration,2026-02-20,18:00,21:00,Festival,"Our flagship seasonal event, showcasing the very best of Plymouth's creative community. Join the festivities and be part of something truly special.",
OCT,Ocean Conservation Trust,Theatre Night,2026-03-03,19:00,21:30,Theatre,A night of captivating storytelling and performance. Suitable for adults and older teens — booking recommended.,
OCT,Ocean Conservation Trust,Music Showcase,2026-05-24,19:00,21:30,Music,Join us for a night of outstanding musical talent. Showcasing performers from across the region and beyond.,
OCT,Ocean Conservation Trust,Guest Speaker,2026-05-26,18:00,19:30,Literature,An unmissable literary event celebrating the power of storytelling and the written word. Light refreshments provided.,
OCT,Ocean Conservation Trust,Cultural Evening,2026-05-27,18:00,20:00,Community,Open to everyone — come along and be part of Plymouth's vibrant community arts scene. Refreshments provided.,
OCT,Ocean Conservation Trust,Artist Residency Event,2026-06-12,18:00,20:00,Visual Arts,An open invitation to engage with Plymouth's creative community. Artists from across the region will be sharing their work and practice.,
OCT,Ocean Conservation Trust,Community Performance,2026-08-23,18:00,20:00,Community,Open to everyone — come along and be part of Plymouth's vibrant community arts scene. Refreshments provided.,
OCT,Ocean Conservation Trust,Season Launch,2026-10-22,18:00,20:00,Festival,"Our flagship seasonal event, showcasing the very best of Plymouth's creative community. Join the festivities and be part of something truly special.",
OCT,Ocean Conservation Trust,Comedy Performance,2026-12-07,20:00,22:00,Comedy,An evening of top-drawer comedy guaranteed to leave you in stitches. Featuring a stellar line-up of local and national acts.,
PC,Plymouth Culture,Digital Arts Exhibition,2026-01-31,18:00,20:00,Community,Open to everyone — come along and be part of Plymouth's vibrant community arts scene. Refreshments provided.,
PC,Plymouth Culture,Creative Workshop,2026-03-20,10:00,12:00,Workshop,"Get hands-on and develop your creative skills in this friendly, structured workshop. All materials provided — no experience necessary.",
PC,Plymouth Culture,Community Arts Festival,2026-04-12,18:00,20:00,Community,"A welcoming community event bringing Plymouth residents together to share, connect, and celebrate the city's creative culture.",
PC,Plymouth Culture,Contemporary Art Evening,2026-04-15,18:00,20:00,Community,"A welcoming community event bringing Plymouth residents together to share, connect, and celebrate the city's creative culture.",
PC,Plymouth Culture,Local Artists Showcase,2026-06-29,11:00,16:00,Exhibition,Discover our latest exhibition featuring works by local and regional artists. Free to attend — suitable for all ages.,
RI,Real Ideas Organisation,Family Activity Day,2026-01-15,18:00,20:00,Community,Open to everyone — come along and be part of Plymouth's vibrant community arts scene. Refreshments provided.,
RI,Real Ideas Organisation,Community Showcase,2026-02-24,18:00,20:00,Community,"A welcoming community event bringing Plymouth residents together to share, connect, and celebrate the city's creative culture.",
RI,Real Ideas Organisation,Public Forum,2026-03-11,18:00,20:00,Community,"Join us for this relaxed community gathering, celebrating arts, culture, and the people who make Plymouth such a special place.",
RI,Real Ideas Organisation,Neighbourhood Project,2026-07-30,18:00,20:00,Community,Open to everyone — come along and be part of Plymouth's vibrant community arts scene. Refreshments provided.,
RI,Real Ideas Organisation,Local Voices,2026-09-10,18:00,20:00,Community,"Join us for this relaxed community gathering, celebrating arts, culture, and the people who make Plymouth such a special place.",
RI,Real Ideas Organisation,Skills Workshop,2026-10-01,18:00,20:00,Community,Open to everyone — come along and be part of Plymouth's vibrant community arts scene. Refreshments provided.,
RI,Real Ideas Organisation,Community Conversation,2026-10-15,18:00,20:00,Community,"A welcoming community event bringing Plymouth residents together to share, connect, and celebrate the city's creative culture.",
RI,Real Ideas Organisation,Creative Wellbeing,2026-10-26,18:00,20:00,Community,"A welcoming community event bringing Plymouth residents together to share, connect, and celebrate the city's creative culture.",
Theatre,Theatre Royal Plymouth,Local Stories,2026-04-03,18:00,20:00,Community,"A welcoming community event bringing Plymouth residents together to share, connect, and celebrate the city's creative culture.",
Theatre,Theatre Royal Plymouth,Musical Celebration,2026-04-30,18:00,20:00,Community,"Join us for this relaxed community gathering, celebrating arts, culture, and the people who make Plymouth such a special place.",
Theatre,Theatre Royal Plymouth,The Comedy Hour,2026-06-18,18:00,20:00,Community,Open to everyone — come along and be part of Plymouth's vibrant community arts scene. Refreshments provided.,
Theatre,Theatre Royal Plymouth,Winter Performance,2026-07-21,18:00,20:00,Community,Open to everyone — come along and be part of Plymouth's vibrant community arts scene. Refreshments provided.,
Theatre,Theatre Royal Plymouth,Drama Workshop,2026-08-14,18:00,20:00,Community,Open to everyone — come along and be part of Plymouth's vibrant community arts scene. Refreshments provided.,
Theatre,Theatre Royal Plymouth,Dance Showcase,2026-08-15,18:00,20:00,Community,"A welcoming community event bringing Plymouth residents together to share, connect, and celebrate the city's creative culture.",
Theatre,Theatre Royal Plymouth,Spring Festival,2026-08-22,18:00,20:00,Community,Open to everyone — come along and be part of Plymouth's vibrant community arts scene. Refreshments provided.,
Theatre,Theatre Royal Plymouth,Classic Revisited,2026-10-27,19:00,21:30,Theatre,Join us for a spellbinding evening of theatre. Featuring outstanding performances from our talented ensemble company.,
Theatre,Theatre Royal Plymouth,Hamlet,2026-11-01,18:00,20:00,Community,Open to everyone — come along and be part of Plymouth's vibrant community arts scene. Refreshments provided.,
Theatre,Theatre Royal Plymouth,Family Adventures,2026-11-11,18:00,20:00,Community,"Join us for this relaxed community gathering, celebrating arts, culture, and the people who make Plymouth such a special place.",
Theatre,Theatre Royal Plymouth,New Writing Night,2026-11-29,18:00,20:00,Community,Open to everyone — come along and be part of Plymouth's vibrant community arts scene. Refreshments provided.,
Theatre,Theatre Royal Plymouth,Youth Theatre,2026-12-20,18:00,20:00,Community,"Join us for this relaxed community gathering, celebrating arts, culture, and the people who make Plymouth such a special place.",
